Date,Lyft,Uber,Green Taxis
01-Jul-14,0,"21,228","38,167"
02-Jul-14,0,"26,480","42,472"
03-Jul-14,0,"21,597","46,046"
04-Jul-14,0,"14,148","41,535"
05-Jul-14,0,"10,890","46,873"
06-Jul-14,0,"11,443","40,354"
07-Jul-14,0,"18,280","34,130"
08-Jul-14,0,"25,763","35,756"
09-Jul-14,0,"27,817","36,503"
10-Jul-14,0,"30,541","39,051"
11-Jul-14,0,"28,752","45,383"
12-Jul-14,0,"25,936","54,366"
13-Jul-14,0,"21,082","46,076"
14-Jul-14,0,"27,350","37,143"
15-Jul-14,0,"33,845","38,249"
16-Jul-14,0,"28,607","36,451"
17-Jul-14,0,"30,710","39,713"
18-Jul-14,0,"29,860","46,130"
19-Jul-14,0,"25,726","52,666"
20-Jul-14,0,"21,212","45,355"
21-Jul-14,0,"23,578","33,042"
22-Jul-14,0,"29,029","35,203"
23-Jul-14,0,"34,073","38,839"
24-Jul-14,0,"32,050","38,704"
25-Jul-14,40,"29,975","44,431"
26-Jul-14,468,"27,708","53,004"
27-Jul-14,623,"22,590","46,195"
28-Jul-14,418,"23,981","29,186"
29-Jul-14,671,"27,589","32,944"
30-Jul-14,884,"30,740","36,869"
31-Jul-14,"1,150","33,541","41,471"
01-Aug-14,"1,506","32,353","49,955"
02-Aug-14,"2,111","28,678","56,609"
03-Aug-14,"2,023","23,146","47,424"
04-Aug-14,"1,787","24,952","34,820"
05-Aug-14,"2,276","28,094","35,995"
06-Aug-14,"2,363","30,495","38,132"
07-Aug-14,"4,331","32,759","41,111"
08-Aug-14,"6,190","30,411","46,974"
09-Aug-14,"7,740","26,286","55,931"
10-Aug-14,"7,330","20,584","46,745"
11-Aug-14,"4,679","22,632","33,791"
12-Aug-14,"5,202","29,646","36,164"
13-Aug-14,"5,786","29,788","38,111"
14-Aug-14,"5,770","30,457","39,827"
15-Aug-14,"5,888","28,974","47,624"
16-Aug-14,"6,171","26,234","56,626"
17-Aug-14,"5,820","21,209","47,183"
18-Aug-14,"4,464","21,956","34,276"
19-Aug-14,"5,156","24,834","33,716"
20-Aug-14,"5,502","27,955","36,729"
21-Aug-14,"5,579","32,304","41,126"
22-Aug-14,"6,051","29,512","47,136"
23-Aug-14,"5,502","27,097","53,606"
24-Aug-14,"4,531","22,036","46,004"
25-Aug-14,"2,553","22,093","34,097"
26-Aug-14,"2,472","24,550","34,199"
27-Aug-14,"2,726","27,018","37,884"
28-Aug-14,"4,664","28,597","40,579"
29-Aug-14,"6,779","27,424","48,602"
30-Aug-14,"7,683","23,930","53,824"
31-Aug-14,"6,813","23,271","48,338"
01-Sep-14,"5,491","19,961","35,898"
02-Sep-14,"4,467","28,831","36,957"
03-Sep-14,"4,670","32,631","39,453"
04-Sep-14,"4,890","38,360","43,364"
05-Sep-14,"5,748","42,319","50,243"
06-Sep-14,"7,722","40,520","59,470"
07-Sep-14,"6,797","30,134","48,610"
08-Sep-14,"3,849","30,360","37,010"
09-Sep-14,"3,895","34,560","37,694"
10-Sep-14,"4,262","35,910","39,746"
11-Sep-14,"4,872","36,439","42,838"
12-Sep-14,"4,712","39,540","51,430"
13-Sep-14,"5,226","43,205","64,184"
14-Sep-14,"4,116","28,122","51,675"
15-Sep-14,"2,187","29,454","37,400"
16-Sep-14,"2,028","36,092","39,642"
17-Sep-14,"2,149","35,531","39,566"
18-Sep-14,"2,364","40,274","43,899"
19-Sep-14,"2,844","41,017","52,115"
20-Sep-14,"4,026","38,864","60,211"
21-Sep-14,"3,481","28,620","50,535"
22-Sep-14,"1,886","28,312","37,103"
23-Sep-14,"2,028","30,316","38,492"
24-Sep-14,"2,243","31,301","40,373"
25-Sep-14,"2,891","38,203","43,249"
26-Sep-14,"3,089","37,504","49,660"
27-Sep-14,"4,555","39,468","61,248"
28-Sep-14,"4,509","29,656","51,832"
29-Sep-14,"2,631","29,201","37,657"
30-Sep-14,"2,371","33,431","38,665"